index,uid
4076,718755
4079,464698
4080,404643
4082,654937
4092,131061
4095,630499
4099,519661
4103,281714
4104,235320
4106,873376
4109,606407
4112,566009
4119,869890
4125,595531
4130,854022
4139,823519
4146,188528
4150,476006
4166,503833
4168,284557
4173,462020
4174,996023
4184,689374
4185,434831
4192,902806
4198,581605
4207,154523
4208,203617
4209,736134
4210,174734
4219,720349
4220,476006
4223,239975
4228,728335
4241,543221
4242,803498
4243,927455
4268,947890
4269,933464
4270,852709
4271,201053
4280,377799
4290,809085
4296,274797
4299,498003
4301,371778
4304,208623
4305,249900
4316,640052
4334,203484
4335,566030
4340,513030
4352,322603
4354,702239
4360,295233
4365,925846
4366,211890
4387,355534
4388,367915
4394,170868
4401,609728
4408,249254
4413,256497
4427,380071
4428,326491
4463,963630
4466,523177
4480,105896
4485,753850
4487,769438
4493,369190
4505,609728
4515,685514
4517,314469
4518,536944
4537,659930
4540,992415
4549,210208
4551,103759
4561,771450
4568,378539
4575,200174
4580,843942
4586,360003
4592,687513
4599,260775
4617,624169
4628,751477
4635,242088
4640,327779
4645,408316
4654,153709
4664,781413
4683,689186
4685,348860
4699,777409
4700,163880
4701,542226
4715,192470
4724,874908
4727,219365
4742,700441
4748,114387
4767,412498
4772,832144
4781,450561
4784,615410
4797,747811
4799,574496
4804,285504
4810,809522
4820,440708
4822,131314
4832,963123
4833,685790
4845,421056
4850,893122
4868,811568
4872,141056
4891,947542
4905,678471
4918,116249
4928,202817
4933,129271
4938,730510
4941,414428
4944,587008
4947,770868
4952,414510
4972,388971
4973,802480
4985,265585
5006,295968
5019,398427
5020,259077
5024,653535
5030,836394
5038,570959
5045,471139
5046,916360
5050,981906
5051,784527
5055,278606
5058,738941
5060,476575
5070,141425
5071,196702
5073,404544
5088,799473
5091,423651
5094,991703
5116,139776
5120,582636
5125,462053
5131,723081
5135,348860
5162,271937
5167,666570
5169,389039
5170,117066
5172,154130
5180,560367
5183,690350
5195,728335
5196,661146
5200,987488
5205,574304
5250,386517
5255,463497
5276,127428
5281,737569
5287,607086
5292,422648
5297,795416
5309,843119
5311,199657
5314,325300
5318,337439
5328,879885
5332,830802
5335,672795
5336,753850
5355,824667
5356,295299
5358,141880
5380,791868
5390,663699
5392,374838
5397,692149
5401,436592
5406,238877
5411,945676
5414,343650
5415,716001
5431,797546
5433,228837
5440,133384
5453,211339
5455,360086
5461,926091
5465,494484
5490,780130
5493,969657
5498,680036
5503,344939
5515,898131
5518,152781
5520,299614
5523,364548
5525,435527
5537,672945
5544,540487
5547,807871
5554,578359
5567,734131
5570,400054
5576,155371
5579,829555
5581,578924
5583,434091
5585,532556
5594,540907
5596,225550
5608,476733
5637,545028
5650,325757
5652,963666
5653,355405
5665,312972
5670,782856
5673,837207
5675,304525
5677,414428
5686,253328
5694,800675
5696,475715
5698,867675
5701,920865
5717,274797
5719,304050
5738,328978
5742,812555
5744,280614
5745,543221
5747,395893
5761,770325
5766,469100
5777,574900
5786,504998
5805,613735
5825,614888
5826,976542
5827,508676
5828,378700
5846,235320
5849,254029
5850,863329
5855,223899
5868,874696
5873,730845
5882,252313
5883,721068
5889,578890
5899,994777
5901,222901
5903,119384
5911,535740
5921,131045
5925,570832
5937,408671
5941,645574
5968,296044
5970,401983
5995,607717
6000,728720
6006,956687
6008,530826
6015,995434
6025,693666
